Event Name,Start,End,Location,Description,Organizer,Event URL,City
Sunset Boat Tour: Explore our Region's Port Infrastructure,"August 01, 2023, 06:20 PM","August 01, 2023, 09:00 PM","12th Avenue and West 43rd Street, New York, NY 10036","Open House New York invites you for a summer evening cruise of New York Harbor to learn about the immense scale and complexity of local and global port activity. Bethann Rooney, Port Director at the Port Authority of New York and New Jersey and a 30+ year veteran in the maritime industry, will guide us on an exploration of the past, present, and future of the shipping industry in New York Harbor.
As the gateway to one of the most concentrated consumer markets in the world, the Port of New York and New Jersey is the busiest container terminal on the East Coast and second busiest in the country. A major shipping hub from the first pier in 1659 through the establishment of the Port Authority in 1921 to today, the wooden ships and cargo hooks of the past have now been replaced by computers and a landscape of gantry cranes.
The tour will showcase container terminals and cargo infrastructure, along with iconic sites like the Lower Manhattan skyline and Statue of Liberty. Join us for an exclusive cruise exploring how the Port of New York and New Jersey will continue to serve the region with world-class infrastructure as our cities globalize and supply chains work to meet our on-demand needs.
AIA CES credits (2.5 LU) is available for this program.
",https://www.eventbrite.com/o/open-house-new-york-1513263208,https://www.eventbrite.com/e/sunset-boat-tour-explore-our-regions-port-infrastructure-tickets-664788569507,NYC
Offshore WINDPOWER Conference & Exhibition,"October 03, 2023, 12:00 PM","October 04, 2023, 05:00 PM"," Hynes Convention Center, 900 Boylston St, Boston, MA 02199"," Offshore wind is America’s next major energy source. Wind represents a generational opportunity to create jobs and bolster the economy. Offshore wind is an abundant clean energy solution for large population centers looking to source more of their power from clean sources, and falling costs make it increasingly economical. Offshore wind is a once-in-a-generation opportunity and its momentum forward continues leading into ACP’s Offshore WINDPOWER Conference & Exhibition this fall. The event has cultivated a dedicated and thriving global community of top developers and experts. As more steel goes in the water, this event will only continue to grow in value and scope. ", American Clean Power,https://cleanpower.org/offshore-windpower/,NYC
Lighting the Path: AAPI Leaders Powering Up the Energy Justice Movement,"August 11, 2023, 12:00 PM","August 11, 2023, 01:00 PM", Online," Join us for Lighting the Path: AAPI Leaders Powering Up the Energy Justice Movement this August 11, 2023 to explore the rich history of islands around the world, and how it has led to a powerful movement for energy justice. From Hawai’i to the Philippines, islands have a rich history of power, honor, and connection to the natural world. For centuries, island communities have honored the planet and fought to protect their resources from the exploitation of mainlands. Despite facing the challenges of colonialism and exploitation, these communities have fostered a movement for Energy Justice that has proven stronger than their opponents.", Energy Allies,https://www.eventbrite.com/e/lighting-the-path-aapi-leaders-powering-up-the-energy-justice-movement-tickets-646305074877,NYC
A Festival of Climate Solutions,"September 16, 2023, 12:00 AM","September 24, 2023, 12:00 AM",A Festival of Climate Solutions,A Call to Action,communitybuilding.s.c@gmail.com,https://www.hvclimatesolutionsweek.org/,NYC
Climate Week NYC,"September 17, 2023, 12:00 AM","September 24, 2023, 12:00 AM","September 24, 2023, 11:59 PM",Not provided,Climate Week NYC is hosted by the Climate Group.,https://www.climateweeknyc.org/,NYC
Sustainable Building Resource Fair,"September 21, 2023, 04:00 PM","September 21, 2023, 07:00 PM","209 Joralemon Street, Brooklyn, NY","Building owners and managers should get to work now on retrofits and upgrades that will make buildings greener and compliant with Local Law 97. City Council is here to help! Attend the Resource Fair to be connected to experts and experienced contractors who can kickstart your building’s sustainability upgrade. Come to learn about heat pumps, solar, weatherization, HVAC, lighting, electric, renewable energy, and waste management for your building, as well as financial incentives, including IRA tax incentives, and financing to help you do the work. Co-sponsored by Borough President Antonio Reynoso Council, Member Lincoln Restler, Better Buildings NY, and the NYSERDA funded Brooklyn Energy Hub.","Borough President Antonio Reynoso Council, Member Lincoln Restler, Better Buildings NY, and the NYSERDA funded Brooklyn Energy Hub",https://www.downtownbrooklyn.com/event/sustainable-building-resource-fair/,NYC
"Climate & Environmental Justice in Harlem: Storms, Heat & Wildfires","August 09, 2023, 05:30 PM","August 09, 2023, 08:00 PM","Adam Clayton Powell Jr. Harlem State Office Building, 163 W. 125 St., New York, NY 10027, 2nd Floor Art Gallery","Join us for a Special HARLEM WEEK Climate Change Conference in the heart of Harlem, NYC. This is the fourth in a series of events, kicked off on Earth Day 2022, exploring the reality of how the growing risks of rising heat, more intense storms, and a history of environmental injustice continue to generate disproportionate climate impacts in communities like Harlem as well as the community leadership working to overcome this history. Recent events like the Canadian wildfire smoke demonstrate how air quality gains can be eroded by climate change, having a disproportionate impact on communities already struggling with heat, air quality concerns, and their associated health impacts. What is government doing to address these risks and get at the root causes of our climate crisis? How can community organizations and residents partner with local businesses, academic organizations, and government to cause real change in policy and outcomes? Hear from local researchers, elected officials, and community leaders on the challenge and the opportunities to empower communities to lead the way into a cleaner, safer, healthier future.",Columbia Climate School & The Greater Harlem Chamber of Commerce,https://www.climate.columbia.edu/events/climate-environmental-justice-harlem-storms-heat-wildfires,NYC
Strategies for climate communication in early-career professional...,"August 14, 2023, 02:00 PM","August 14, 2023, 03:00 PM",Online,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.",Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University,https://www.climate.columbia.edu/events/strategies-climate-communication-early-career-professional,NYC
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,"August 17, 2023, 02:00 PM","August 17, 2023, 03:00 PM",Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-31,NYC
W.S. Jardetzky Lecture,"September 08, 2023, 03:30 PM","September 08, 2023, 04:30 PM","Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Jardetzky lecture in geophysics honors the late Wenceslas S. Jardetzky, a renowned researcher and educator whose flourishing scientific career in Europe was halted by World War II and revived after he emigrated to the United States. From 1949 until his death in 1962, he was a research associate at Lamont-Doherty, where he collaborated with Frank Press, former president of the National Academy of Sciences, and Maurice Ewing, Lamont-Doherty's founder, on a well-known and widely used scientific book, Elastic Waves in Layered Media. Dr. Jardetzky's broad scope of scientific interests also included celestial mechanics, fluid dynamics, theoretical physics, seismology, and the migration of the poles. A principal contribution to science was his mathematical theory on zonal rotation, which provided a mechanism for the migration of continents. The Jardetzky lecture was established in 1992 by Dr. Jardetzky's son Oleg, who was the founder of the Magnetic Resonance Laboratory and professor of molecular pharmacology at Stanford University. In endowing the lectureship, Dr. Jardetzky said he hoped it would ""help enrich the outstanding tradition of the Lamont-Doherty Earth Observatory, which provided a much cherished intellectual home to my father after he emigrated to this country.""",Dr. Einat Lev,https://www.climate.columbia.edu/events/ws-jardetzky-lecture,NYC
