Event Name,Start,End,Location,Description,Organizer,Event URL,City
2023 HONG KONG DRAGON BOAT FESTIVAL IN NEW YORK,"August 12, 2023, 12:00 AM","August 13, 2023, 11:59 PM",FLUSHING MEADOWS PARK | FREE ADMISSION | RAIN OR SHINE,Our 2023 festival is scheduled on Aug 12 and 13,"HKDBFNY, INC.",https://www.hkdbf-ny.org/index.php,NYC
"EPA Nat'l Environmental Justice Community Engagement Call (Aug 15, 2023)","August 15, 2023, 11:00 AM","August 15, 2023, 01:00 PM",Online,"EPA invites EJ advocates to participate in National EJ Community Engagement calls. These calls are free & open to the public. The purpose of these calls is to inform communities about EPA's environmental justice work and enhance opportunities to maintain an open dialogue with environmental justice advocates. As environmental justice continues to be integrated into EPA programs and policies, the Agency hopes that these calls will help reaffirm EPA’s continued commitment to work with community groups and the public to strengthen local environmental and human health outcomes. EPA has increased the frequency of these engagement calls to learn more from stakeholders and communities and to provide updates about ongoing initiatives. Due to limited space, participation in this call will be on a first come, first-served basis. Pre-registration is highly suggested, but not required. If registration has reached capacity, please see the links below for instructions on how to access the call if seating is available on the day of the meeting. If you are unable to join the call, a summary will be posted to the U.S. EPA Office of Environmental Justice’s website after. If you need English-language interpretation assistance, or special accommodations for a disability or other assistance, you can submit a request when registering for the meeting. Please submit your request a week before the scheduled webinar to give EPA sufficient time to process. For more information about EPA's National Environmental Justice Community Engagement Calls, please visit the website or email: Ericka Farrell (farrell.ericka@epa.gov)",U.S. EPA Office of Environmental Justice,https://www.eventbrite.com/e/epa-natl-environmental-justice-community-engagement-call-aug-15-2023-registration-689514615777,NYC
WEDG DESIGN TOUR,"September 19, 2023, 09:00 AM","September 19, 2023, 11:15 AM","Pier 81, New York City (W. 41st St. at 12th Avenue)","The Waterfront Design Tour showcases excellence in resilient, ecological, and accessible design through the lens of the WEDG® (Waterfront Edge Design Guidelines). See major NYC projects from a new perspective. Please note: all registrants are required to sign a waiver to participate on the WEDG Design Tour. The waiver will be emailed to each registrant entered in this form.",,https://bit.ly/wedgdesigntour,NYC
Offshore WINDPOWER Conference & Exhibition,"October 03, 2023, 08:00 AM","October 04, 2023, 04:30 PM","Hynes Convention Center, 900 Boylston St, Boston, MA 02199",Offshore wind is America’s next major energy source.,American Clean Power,https://cleanpower.org/offshore-windpower/,NYC
Film Screening and Panel: How to Blow Up a Pipeline,"August 16, 2023, 06:30 PM","August 16, 2023, 09:00 PM","Angelika Film Center & Cafe, 18 West Houston Street, New York, NY, 10012, United States","The Climate Museum joins forces with Lapham’s Quarterly and the Center for Constitutional Rights to present a special screening of the 2023 eco-thriller film How to Blow Up a Pipeline, based on the nonfiction book of the same name by Andreas Malm.",The Climate Museum,https://climatemuseum.org/2023-events/howtoblowupapipeline,NYC
"Climate & Environmental Justice in Harlem: Storms, Heat & Wildfires","August 09, 2023, 05:30 PM","August 09, 2023, 08:00 PM"," Adam Clayton Powell Jr. Harlem State Office Building, 163 W. 125 St., New York, NY 10027, 2nd Floor Art Gallery"," This is the fourth in a series of events, kicked off on Earth Day 2022, exploring the reality of how the growing risks of rising heat, more intense storms, and a history of environmental injustice continue to generate disproportionate climate impacts in communities like Harlem as well as the community leadership working to overcome this history. Recent events like the Canadian wildfire smoke demonstrate how air quality gains can be eroded by climate change, having a disproportionate impact on communities already struggling with heat, air quality concerns, and their associated health impacts.", Columbia Climate School & The Greater Harlem Chamber of Commerce,https://www.climate.columbia.edu/events/climate-environmental-justice-harlem-storms-heat-wildfires,NYC
MA in Climate & Society Final Capstone Briefings,"August 10, 2023, 04:00 PM","August 10, 2023, 06:30 PM","The Forum at Columbia University, 601 W. 125th St., New York, NY 10027",The Capstone Workshop serves as the culminating educational experience for students in the MA in Climate & Society program. Students apply the practical skills and analytical knowledge they have gained through coursework to real-world climate-related challenges for a client.,Columbia Climate School,https://www.climate.columbia.edu/events/ma-climate-society-final-capstone-briefings,NYC
Strategies for climate communication in early-career professional...,"August 14, 2023, 02:00 PM","August 14, 2023, 03:00 PM", Online," Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.", Columbia Climate School,https://www.climate.columbia.edu/events/strategies-climate-communication-early-career-professional,NYC
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,"August 17, 2023, 02:00 PM","August 17, 2023, 03:00 PM",Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-31,NYC
W.S. Jardetzky Lecture with Dr. Linda Elskis-Tanton,"September 08, 2023, 03:30 PM","September 08, 2023, 04:30 PM","61 Route 9W, Palisades, NY 10964",Volcanoes And The Great Dying: The End-Permian Extinction And Its Parallels With Today,Lamont-Doherty Earth Observatory,https://www.climate.columbia.edu/events/ws-jardetzky-lecture-dr-linda-elskis-tanton,NYC
