Event Name,Start,End,Location,Description,Organizer,Event URL,City
Women in Climate,"September 07, 2023, 06:30 PM","September 07, 2023, 09:30 PM","12 Golden Square 6th floor, London, W1F 9JE, United Kingdom","Why you should come? The event will bring together women who specialise in nature-based solutions throughout the climate world, providing a forum to network and share their unique experiences and perspectives.The event is intended to promote and encourage female collaboration on climate action  and  to improve the representation of women within the climate agenda. Men who support this mission are warmly welcomed to join as well.W﻿hat's happening at the event? Y﻿ou'll enjoy:A forum to connect with women specialised in nature-based solutionsA couple of short talks from our community members to teach and inspire us about their climate expertiseSome speed-networking exercises to mix things up and help you meet new peopleDrinks and finger-food will be provided courtesy of our sponsor Northwood Investors. ",https://www.eventbrite.co.uk/o/women-in-climate-63001413283,https://www.eventbrite.co.uk/e/women-in-climate-tickets-606637237307,London
"3 talks, 100 people, all climate - Climate Connection","July 26, 2023, 06:00 PM","July 26, 2023, 09:00 PM","61-65 Great Queen Street, London, WC2B 5BZ, United Kingdom","W﻿hy you should come:Climate Connection exists to bring together folks of all backgrounds who are working to avert climate change. Want to meet founders? Policy wonks? Investors? Creatives? This is the place to be.What's happening at the event?Y﻿ou'll enjoy:Amazing climate conversations with the CC communityThree lightning talks from our community members to teach and inspire us about their climate expertiseSome speed-networking exercises to mix things up and help you meet new peopleCanapés will be provided courtesy of our sponsors.What's the line-up this month?24/7 carbon free energy: What does it mean for you? - By Alex Cohen, from Google Cloud Decarbonising logistics: The hidden impact of your online orders - By Murvah Iqbal, from HIVED Pico Hydroelectric: Protecting fish while harvesting the power of rivers - By Henry Reily-Collins, from The Fish Friendly HydropowerInterested in being one of our lightning talk speakers?Click here to read more and take 2 mins to express interest.",https://www.eventbrite.co.uk/o/climate-connection-38920367733,https://www.eventbrite.co.uk/e/3-talks-100-people-all-climate-climate-connection-tickets-600316130707,London
Climate Tech Summit 2023,"November 06, 2023, 09:00 AM","November 07, 2023, 03:30 PM","4-18 Harrington Gardens, South Kensington, London, SW7 4LH, United Kingdom","Climate Tech Summit 2023 in London UK Europe is Climate Tech Conference 2023 (   https://climatetechconference.co.uk/ )for climate change, environment, sustainability, net zero & AI. The climate tech summit focuses on clean tech, green tech, green, transportation, environment, sustainability, smart buildings, iot, solar energy, renewable energy, oil & gas, climate action, carbon reduction, carbon capture, carbon storage, ocean, carbon credits, wind energy, plant based foods, food security, climate finance, climate mitigation and climate adaptation. More info: https://climatetechconference.co.uk/",https://www.eventbrite.com/o/climate-tech-63768273993,https://www.eventbrite.com/e/climate-tech-summit-2023-tickets-606861728767,London
Staging the Climate Crisis: climate theatre workshops and networking,"July 26, 2023, 07:00 PM","July 26, 2023, 09:00 PM","134 Lower Marsh, London, SE1 7AE, United Kingdom","Interested in finding out more about making theatre about the climate crisis? W﻿ant to connect with other creatives who are making climate theatre? Our monthly sessions explore the different aspects of staging the climate crisis, everything from writing characters to getting funding.Come along to the Glitch bar in Waterloo to find out more!What to expect:7pm to 8pm - The first half of the session is a workshop led by an artist, facilitator or creative and explores a specific aspect about staging the climate crisis. More details below. 8pm to 9pm - The second half of the session is a relaxed networking and/or chatting session in the Glitch bar upstairs.Upcoming sessionsWednesday – 26 July 2023 – Exploring extreme heat through performance and writing exercises
Monday – 21 August 2023 – Playfulness, games and adaptation
Monday – 18 September 2023 – Writing a climate monologueWednesday – 25 October 2023 – Eco dramaturgy
Monday – 20 November 2023 – Self producing
Wednesday – 20 December 2023 – Scratch night and festive social
Access We have reserved the basement space at The Glitch for this event. It doesn't have step-free access due to being a basement space with no lift facilities. The space is down a flight of 15 stairs with a solid handrail. If this will be a problem for you, let us know and we will move the event to the ground floor cafe/bar space which has step-free access.If you have any other access needs please let us know. We are a neurodiverse theatre company and it is very important to us that people feel supported to come along.F﻿ree ticketsW﻿e ask for donations for the workshops to cover the expenses of workshop leaders and to support our work as a not-for-profit theatre company. We keep the suggested donations low in order to ensure that as many people as possible can attend.  W﻿e also have a limited number of free tickets availiable. I﻿f you would like a free ticket, please email wiseramtheatre@gmail.com with ""Workshop [date] free ticket"" and we'll send you the details - there is no need to explain why you need one.About Wise Ram TheatreWise Ram Theatre is a new neurodiverse theatre company exploring thorny subjects with humour, nerve, and heart. E﻿mail us on wiseramtheatre@gmail.com with any queries.",https://www.eventbrite.co.uk/o/wise-ram-theatre-52445616343,https://www.eventbrite.co.uk/e/staging-the-climate-crisis-climate-theatre-workshops-and-networking-tickets-628604331477,London
Higher Education and the Climate Crisis Conference,"October 19, 2023, 10:00 AM","October 19, 2023, 04:00 PM","Malet Street, London, WC1E 7HU, United Kingdom","The conference is being convened by Climate-U (Transforming Universities for a Changing Climate), a Global Challenges Research Fund project led by University College London, in partnership with University of Passo Fundo (Brazil), Kenyatta University (Kenya) and University of the South Pacific (Fiji).The conference is an in-person event, to be held at the University of London Senate House, in Bloomsbury, London, and is free of charge. Attendance is open to all; we hope it will be of interest to researchers, practitioners, students and activists working in this field.Draft programme: 09.00-10.00: Registration, poster session & artistic engagements with the climate crisis10.00-10.20: Welcome and opening remarks 10.20-11.00: Keynote address by Fatima Denton (United Nations University)11.00-12.30: Parallel Sessions 112.30-13.30: Lunch13.30-15.00: Parallel Sessions 215.00-15.30: Coffee15.30-16.30: Closing reflections from panel ",https://www.eventbrite.co.uk/o/transforming-universities-for-a-changing-climate-31318712035,https://www.eventbrite.co.uk/e/higher-education-and-the-climate-crisis-conference-tickets-670801975767,London
Climate Fresk- Get to grips with the climate science,"August 05, 2023, 10:00 AM","August 05, 2023, 01:00 PM","Hight Street, Chelmsford, CM2 6FD, United Kingdom","A﻿s part of our exhibition Earth 23, The Art Place have teamed up With Many Roots  to bring you an easy way to understand climate science. We did one of these back in June and would love to bring an extra one. You must be over 16 years old to be part of this workshop if there is no parental/guardian presence.About this EventJoin an interactive workshop to look at it in more detail, learn together and challenge our assumptions.👉🏽 Do you know how climate change affects you and the local region now and in the future?👉🏽 Would your climate change communications benefit from a firm grounding knowledge of climate science?👉🏽 Your council has declared a Climate Emergency, so what does that mean?The Climate Fresk turns climate science into a game, more than a million people have played it worldwide.Group size is limited to 18 people | Workshop is 3 hours with a break in the middle.At the end of the workshop, you will have✨A clearer understanding of the cause and effect of the climate science✨A visual overview of the interconnectedness✨Test your own knowledge and assumptions✨PDF output of your group work and a URL you can keep coming back to for referenceWhat others have said""Sophia had an amazing ability to engage us all in a challenging subject in an enjoyable and informative way. She was knowledgeable, friendly and ensured that no one was left out! I would highly recommend!"" Jo, UK“I wanted to thank YOU again for the amazing event you hosted yesterday! It truly opened up my eyes on climate change and made me learn so much, I'm so grateful for you putting this together” 🙌 Ines, Australia""Do it do it do it! It was brilliant, peeps - a superb way of communicating, of provoking inquiry, and of triggering discussion. Sophia was really good at letting us get stuck in but helping us through when we got stuck. We brought the extra challenge of ""someone outside of the age range"" and she supported him brilliantly too."" Kara, UKPlace: The Art Place is located in Meadows commercial center.Safety and inclusivityIn order to keep our community safe, please do not attend the workshop if you have any symptoms of COVID-19. If you have any accessibility requirements please let us know in advance and we will do our best to accommodate you.  T﻿he Art Place is a Creative Community Safe Space and a project of Ideas Hub (reg. charity)We appreciate your support to help us continue providing services like this to the community.Thank you for supporting our charity!-------Like detail?Climate Fresk is a French-based NGO, with the aim to make climate science more accessible using graphs and data from the UN's climate scientists, the IPCC*. The Climate Fresk is sponsored by Valérie Masson-Delmotte, Co-Chair of the IPCC working group I.You will work as a team to find the cause & effect relationships between the 42 cards. Collectively, together you will build a collage explaining climate change.Why is there a £3 deposit? It’s £3 deposit to reserve your spot. The small number of spaces is limited to bring about great discussion but when we offered community workshops for free folks didn’t show up, taking away from the experience of those who did show up. These community workshops are subsidised, our main objective is to reach as many people as possible. If you want to come but the fee is a barrier, email us and we will work with you. ",https://www.eventbrite.co.uk/o/ideas-hub-chelmsford-17587867256,https://www.eventbrite.co.uk/e/climate-fresk-get-to-grips-with-the-climate-science-tickets-679270715997,London
Climate Fresk Workshop,"July 27, 2023, 06:00 PM","July 27, 2023, 09:00 PM","3 Old Street Yard 1st Floor Boardroom, London, EC1Y 8AF, United Kingdom","W﻿hat is Climate Fresk?C﻿limate Fresk is an Association that created a 3-hour workshop aimed to educate about the main challenges of Climate Change in an entertaining way. W﻿ho can participate?A﻿nyone from 14 years old can participate for the adult version. It can greatly benefit to someone completely new to the challenges of Climate Change as well as to people already well educated on the topic. H﻿ow does it work?I﻿t is a 42 cards game with each card that represents a key notion to understand Climate Change. The purpose for the participants will be to work together to identify the cause-effect relationships between the cards.Discussions about emotions as well as solutions and actions will then be discussed in the second half phases of the workshop. Workshop Agenda👉 15min - Welcome & Intros👉 1h20 - Building the ""Fresk"" - a visual representation of climate change👉 20 min - Creativity - Take ownership of your Fresk👉 15 min - Recap + Sharing emotions👉 50 min - Collaborative discussion on solutions & actionsThis is a workshop with a minimum of participants of 6 people and a maximum of 14. The event will start at 6 PM and last 3 hours. We will be ready to welcome you from 5:45 PM to start the workshop at 6 PM.Your Host: Maxime Fazilleau is dedicating his free time to facilitating workshops on Climate science. His background is in the training and digital industry. He also facilitates the Digital Collage which explains the impact of #digital on the environmentWhere is it? Join us from 5.45 on: 1st floor, 2-4 Old Street Yard, White Collar Factory, Building 3, Islington, London, EC1Y 8AFC﻿ontactI﻿f you have any question please email us at maximefazilleau@protonmail.comThis is the adult version. It is suitable for anyone 14+Want to follow our activites? https://www.linkedin.com/company/climate-fresk-uk/https://www.instagram.com/climatefreskuk/https://www.facebook.com/ClimateFresk",https://www.eventbrite.co.uk/o/townsq-islington-46870652873,https://www.eventbrite.co.uk/e/climate-fresk-workshop-tickets-676775372357,London
London Climate Technology Show 2023,"September 26, 2023, 09:00 AM","September 27, 2023, 05:00 PM","1 Western Gateway, London, E16 1XL, United Kingdom","Helping accelerate the global net zero economy transition, the London Climate Technology Show is the most sought after conference & Tradeshow focused on the fast developing climate technology value chain, where stakeholders from across the worlds of Investment, governments, media, entrepreneurship and academia assemble for experiencing two days of high value content and numerous new business opportunities.The London Climate Technology Show brings together key professionals from the fields of Finance, Agriculture & Land Use, Carbon Capture Utilisation & Storage, Transportation, Built Environment, Energy, ESG, ITes and a myriad of other industry sectors working together toward a decarbonised future.The inaugural edition of the London Climate Technology in 2022 Show attested itself as the largest event focused on the climate technology niche and was able to convene a huge gathering of 2000+ attendees including policymakers, business leaders, investors, startups, media, etc across the 2 days. Building on previous year’s tremendous success, the internationally acclaimed exhibition & conference will once again offer an ideal networking platform for governments, individuals and businesses of all sizes to showcase disruptive solutions to mitigate the climate crisis, help gain invaluable knowledge on green tech innovations & effective decarbonisation strategies accelerating the transition to a low-carbon economy.Check out the event website ",https://www.eventbrite.com/o/valiant-business-media-33867225621,https://www.eventbrite.com/e/london-climate-technology-show-2023-tickets-542446852137,London
Waltham Forest Climate Cafe,"September 16, 2023, 11:00 AM","September 16, 2023, 12:30 PM","721 High Road Leytonstone, London, E11 4RD, United Kingdom","More people than ever are worried about climate change and its effects at home and around the world.  Sharing our anxieties and questions is important, but feelings of guilt, fear or frustration can make talking difficult.The Waltham Forest climate cafe is a space to express your thoughts and feelings with people who share your concerns. There’s no judgement or pressure to do anything. The climate cafe has been set up by a group of local residents and organisations. It's free and open to anyone over 18. It's held in the morning on the third Saturday of every month. Free tea, coffee and biscuits included!Please email E11climate@protonmail.com for more information including accessibility details. [Image shows a section of the London Loop from West Wickham Common to Hamsey Green. Credit Sue Kellerman via flickr CC BY-NC-ND 2.0.]",https://www.eventbrite.co.uk/o/e11-climate-collaboration-45520396783,https://www.eventbrite.co.uk/e/waltham-forest-climate-cafe-tickets-444579939567,London
What's Stopping Us Stopping Climate Change,"September 28, 2023, 06:30 PM","September 28, 2023, 08:45 PM","7 Church Street, Leatherhead, KT22 8DN, United Kingdom","Our system is failing to deliver the transformational change needed to address climate change. The Surrey Climate Commission and the Institute for Sustainability are hosting this event with three leading figures who will consider what's blocking the change and discuss what can be done. The speakers are Lord Deben (Chairperson of the UK Climate Change Committee 2012-2023), Natalie Bennett (Green Party Peer) and Ed Straw (author and expert in governance and systems thinking). The event starts at 6.30pm. The Q&A finishes at 8.45pm. The conversation continues in the bar until 10pm.After the event, we will email you about the opportunities to join follow-up sessions and be part of something bigger. F﻿ind out more about the Surrey Climate Commission at https://www.surreyclimate.org.uk/ and read our privacy notice here https://www.surreyclimate.org.uk/privacy-notice",https://www.eventbrite.co.uk/o/surrey-climate-commission-68115734673,https://www.eventbrite.co.uk/e/whats-stopping-us-stopping-climate-change-tickets-671493062827,London
